Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Atwood, Margaret",Oryx and Crake,Banned Pending Investigation,,,,Florida,St. John's County School District,January 2023,Formal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,Utah,Washington County School District,September 2022,Informal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Warga, Jasmine",Other Words for Home,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Emigration and immigration,Emigration and immigration, fiction,Fiction,Halloween, fiction,Immigrants,Juvenile Fiction,Juvenile fiction,New York Times bestseller,Newbery Honor,Novels in verse,Refugee children,Syria,Syrians,age:max:12,age:min:9,award:Newbery_award,grade:max:7,grade:min:3,nyt:childrens-middle-grade-hardcover=2020-07-19"
"Olsen, Shannon",Our Class is a Family,Banned in Classrooms,,"Sonke, Sandie",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's fiction
"Walker, Abena",Our Favorite African Adrinkra Symbols: A Coloring Book,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Madison, Megan",Our Skin: A First Conversation About Race,Banned in Libraries,"Ralli, Jessica","Roxas, Isabel",,New Jersey,Westfield Public Schools,September 2021,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Mitchell, Saundra",Out Now: Queer We Go Again!,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Pérez, Ashley Hope",Out of Darkness,Banned in Libraries and Classrooms,,,,Indiana,Hamilton Southeastern Schools,July 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Perez, Ashley Hope",Out of Darkness,Banned in Libraries and Classrooms,,,,North Carolina,Moore County Schools,April 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries,,,,North Carolina,Cumberland County Schools,April 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned Pending Investigation,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries,,,,Missouri,Nixa Public Schools,April 2023,Unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries and Classrooms,,,,Kentucky,Campbell County Schools,February 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries,,,,Florida,Volusia County Schools,March 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries,,,,North Carolina,Catawba County Schools,May 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,October 2022,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries and Classrooms,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned Pending Investigation,,,,Texas,Texarkana Independent School District,October 2022,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries and Classrooms,,,,Utah,Alpine School District,November 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries and Classrooms,,,,Utah,Davis School District,February 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned from Libraries and Classrooms,,,,Florida,School District of Osceola County,March 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Pérez, Ashley Hope",Out of Darkness,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Children's fiction,Explosions,Fiction,History,Juvenile fiction,Mexican Americans,Mexican americans, fiction,Race relations,Schools,Schools, fiction,Texas, fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
