Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[31.9686, -99.9018]"
"Curato, Mike",Flamer,Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administrator,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[31.9686, -99.9018]"
"Curato, Mike",Flamer,Banned from Libraries and Classrooms,,,,Oklahoma,Tulsa Public Schools,July 2022,Informal Challenge,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[35.4676, -97.5164]"
"Curato, Mike",Flamer,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[33.8361, -81.1637]"
"Curato, Mike",Flamer,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,Spring 2023,Administration,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[31.9686, -99.9018]"
"Curato, Mike",Flamer,Banned in Libraries,,,,Texas,Clear Creek Independent School District,February 2022,Administrator,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[31.9686, -99.9018]"
"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Oklahoma,Bixby Public Schools,June 2022,Administrator,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[35.4676, -97.5164]"
"Curato, Mike",Flamer,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[44.3467, -85.4102]"
"Curato, Mike",Flamer,Banned from Libraries and Classrooms,,,,Missouri,Rockwood School District,August 2022,Legislative Action,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[38.3566, -92.458]"
"Curato, Mike",Flamer,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[35.5175, -86.5804]"
"Dorfman, Andrea",Flawed,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,"Body image,Pictorial works,Plastic Surgery,Popular works,Self-acceptance,Self-perception,Surgery, plastic",Body image,Pictorial works,Plastic Surgery,Popular works,Self-acceptance,"Self-perception,Surgery, plastic","[38.3566, -92.458]"
"Shepard, Sara",Flawless (Pretty Little Liars Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,Unknown,Unknown,,,,,,"[35.5175, -86.5804]"
"Hopkins, Ellen",Flirtin' With the Monster: Your Favorite Authors on Ellen Hopkins' Crank and Glass,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,March 2023,Administration,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Ellison, Joy Michael",Flor Fights Back: A Stonewall Riots Survival Story,Banned Pending Investigation,,"Ficorilli, Francesca",,Florida,Escambia County Public Schools,May 2023,Formal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Andrews, V.C.",Flowers in the Attic,Banned from Libraries,,,,Florida,School District of Manatee County,July 2022,Legislative Action,"Abuelos,Abuso de niños,American fiction,Children,Dollanger family (fictitious characters), fiction,Enfants,Families,Ficcion,Fiction,Fiction, general,Fiction, horror,Gothic fiction,Grandparent and child,Health and hygiene,Hermanos,Horror tales,Inheritance and succession,Large type books,Niños maltratados,Novela,Psychological fiction,Romans,Social isolation,abused children,brothers and sisters,child abuse,classics,collectionid:vcadg,coming of age,doughnuts,gothic,grandparents,incest,romance,series:dollanganger",Abuelos,Abuso de niños,American fiction,Children,Dollanger family (fictitious characters)," fiction,Enfants,Families,Ficcion,Fiction, general, horror,Gothic fiction,Grandparent and child,Health and hygiene,Hermanos,Horror tales,Inheritance and succession,Large type books,Niños maltratados,Novela,Psychological fiction,Romans,Social isolation,abused children,brothers and sisters,child abuse,classics,collectionid:vcadg,coming of age,doughnuts,gothic,grandparents,incest,romance,series:dollanganger","[27.9944, -81.7603]"
